Address,Price,No. of Beds,No. of Baths,Area,Extra Info
"3068 Goldenvue Walk, Sacramento, CA 95833","$500,000",4 beds,3.5 baths,"2,001 sq ft",
"977 Coleman Ranch Way, Sacramento, CA 95831","$759,000",4 beds,2.5 baths,"2,370 sq ft",
"8064 Monkey Flower Way, Sacramento, CA 95832","$554,058",4 beds,2.5 baths,"2,102 sq ft",
"8068 Monkey Flower Way, Sacramento, CA 95832","$558,765",5 beds,3 baths,"2,693 sq ft",
"4609 Ashton Dr, Sacramento, CA 95864","$1,085,000",4 beds,3 baths,"2,655 sq ft",0.28 acre lot | 2 garage spots | 0.28 acre lot
"4037 Robertson Ave, Sacramento, CA 95821","$799,000",4 beds,2.5 baths,"2,118 sq ft",
"14 Riposto Pl, Sacramento, CA 95834","$675,000",3 beds,3 baths,"2,206 sq ft",
"3425 Del Paso Blvd, Sacramento, CA 95838","$389,000",3 beds,2 baths,"1,014 sq ft",
"989 Johnfer Way, Sacramento, CA 95831","$690,000",4 beds,2 baths,"1,842 sq ft",
"1916 18th St, Sacramento, CA 95811","$449,888",3 beds,1.5 baths,"1,162 sq ft","4,800 sq ft lot | Built 1913 | 4,800 sq ft lot"
"7341 Marani Way, Sacramento, CA 95831","$520,000",3 beds,2 baths,"1,195 sq ft","9,583 sq ft lot | 2 garage spots | 9,583 sq ft lot"
"7992 Keith Winney Cir, Sacramento, CA 95829","$599,999",5 beds,3 baths,"2,479 sq ft",
"4560 Paso Centro Ln, Sacramento, CA 95834","$469,999",2 beds,2 baths,"1,433 sq ft",
"11 Stony Hl, Sacramento, CA 95835","$505,000",3 beds,2.5 baths,"1,722 sq ft",
"2761 32nd Ave, Sacramento, CA 95824","$649,000",3 beds,1 bath,"1,064 sq ft",
"5825 Hobbs Ln #68, Sacramento, CA 95842","$134,900",3 beds,2 baths,"1,000 sq ft",
"3933 Branch St, Sacramento, CA 95838","$395,000",4 beds,2 baths,"1,315 sq ft",
"3522 Cypress St, Sacramento, CA 95838","$380,000",2 beds,2 baths,920 sq ft,
,,,,,
"1059 Acacia Ave, Sacramento, CA 95815","$490,000",5 beds,3 baths,"1,469 sq ft",
"181 Skybrook Ln, Sacramento, CA 95828","$245,000",2 beds,2 baths,"1,664 sq ft",
,,,,,
"4000 Innovator Dr #12101, Sacramento, CA 95834","$394,000",2 beds,2 baths,"1,293 sq ft",
"4205 Arlington Ave, Sacramento, CA 95820","$398,500",2 beds,1 bath,808 sq ft,
"3605 Astral Dr, Sacramento, CA 95827","$399,000",3 beds,2 baths,"1,068 sq ft",
"310 Bathbridge Ln, Sacramento, CA 95823","$435,000",3 beds,2.5 baths,"1,538 sq ft",
"3434 Turnbridge Dr, Sacramento, CA 95823","$125,000",3 beds,2 baths,"1,560 sq ft",
"2609 Ensenada Way, Sacramento, CA 95815","$387,000",3 beds,1 bath,"1,263 sq ft",
"9101 Newhall Dr #35, Sacramento, CA 95826","$202,000",1 bed,1 bath,704 sq ft,
,,,,,
"2816 Earthened Walk, Sacramento, CA 95833","$615,000",3 beds,3 baths,"1,963 sq ft",
"5722 Clearwater Dr #18, Sacramento, CA 95841","$59,900",1 bed,1 bath,675 sq ft,
"4108 57 St, Sacramento, CA 95820","$649,900",4 beds,2 baths,"1,406 sq ft","4,356 sq ft lot | Garage | 4,356 sq ft lot"
"8748 Kentshire Way, Sacramento, CA 95828","$485,000",3 beds,2.5 baths,"1,654 sq ft",
"7451 Albezzia, Sacramento, CA 95828","$85,400",3 beds,2 baths,"1,600 sq ft",
"7331 Stratford Pl #601, Sacramento, CA 95842","$338,500",2 beds,2 baths,"1,134 sq ft",
"2949 Bowden Square Way, Sacramento, CA 95835","$549,000",3 beds,2.5 baths,"1,859 sq ft",
"4540 Greenholme Dr #2, Sacramento, CA 95842","$210,000",2 beds,1 bath,840 sq ft,
"3811 15th Ave, Sacramento, CA 95820","$587,000",4 beds,3 baths,"1,450 sq ft",
"5423 Knotty Pine Way, Sacramento, CA 95835","$509,900",4 beds,2.5 baths,"1,753 sq ft",
"3715 Tallyho Dr, Sacramento, CA 95826","$259,999",2 beds,2 baths,890 sq ft,
"255 Silver Eagle Rd, Sacramento, CA 95838","$499,000",3 beds,1 bath,989 sq ft,
"10 Scenic Point Pl, Sacramento, CA 95835","$535,000",4 beds,2.5 baths,"1,962 sq ft",
"1933 El Monte Ave, Sacramento, CA 95815","$388,000",3 beds,2 baths,"1,080 sq ft","4,792 sq ft lot | 2 garage spots | 4,792 sq ft lot"
"3234 Casitas Bonito, Sacramento, CA 95825","$339,900",2 beds,2.5 baths,"1,166 sq ft",
"2021 Arliss Way, Sacramento, CA 95822","$424,900",3 beds,2 baths,"1,044 sq ft",
"2961 Northrop Ave, Sacramento, CA 95864","$1,200,000",4 beds,3.5 baths,"3,125 sq ft",
"1236 Commons Dr./st. Charles Pl. Dr, Sacramento, CA 95825","$650,000",2 beds,2 baths,"1,861 sq ft",
"1512 Kathleen Ave, Sacramento, CA 95815","$339,900",2 beds,1 bath,997 sq ft,"5,227 sq ft lot | Garage | 5,227 sq ft lot"
"1032 - 1034 10th Ave, Sacramento, CA 95818","$1,020,000",6 beds,3 baths,"3,182 sq ft",
"7236 Ojai Ct, Sacramento, CA 95842","$459,900",3 beds,2 baths,"1,188 sq ft",
"4201 Moddison Ave, Sacramento, CA 95819","$749,900",4 beds,2 baths,"1,305 sq ft",
"4020 Arco Del Paso Ln, Sacramento, CA 95834","$549,000",2 beds,2.5 baths,"1,769 sq ft",
"2727 K St, Sacramento, CA 95816","$1,450,000",4 beds,3 baths,"3,104 sq ft","3,202 sq ft lot | Parking | 3,202 sq ft lot"
"8188 Crafton Ct, Sacramento, CA 95828","$490,000",3 beds,2 baths,"1,289 sq ft","6,146 sq ft lot | 2 garage spots | 6,146 sq ft lot"
"6279 Dayspring Way, Sacramento, CA 95823","$399,500",3 beds,2 baths,"1,329 sq ft",
"4040 Cayente Way, Sacramento, CA 95864","$839,900",4 beds,3 baths,"1,925 sq ft",
"5373 Admiral Bend Way, Sacramento, CA 95835","$596,500",3 beds,2.5 baths,"1,720 sq ft",
"3244 Windsor Dr, Sacramento, CA 95864","$520,000",3 beds,2 baths,"1,724 sq ft",
"2253 Indian Wells Ct, Sacramento, CA 95833","$529,000",3 beds,3 baths,"1,660 sq ft",
"4210 Turnbridge Dr, Sacramento, CA 95823","$340,000",2 beds,2 baths,"1,240 sq ft",
"2008 Bowling Green Dr, Sacramento, CA 95825","$429,000",4 beds,2 baths,"1,351 sq ft",
,,,,,
"7548 Huckleberry Ln, Sacramento, CA 95828","$65,000",2 beds,2 baths,"1,344 sq ft",
"5123 Marysville Blvd, Sacramento, CA 95838","$400,000",2 beds,1.5 baths,916 sq ft,
,,,,,
"7565 El Terraza Dr, Sacramento, CA 95828","$549,000",5 beds,3 baths,"1,929 sq ft",
"8047 Grandstaff Dr, Sacramento, CA 95823","$459,000",4 beds,2 baths,"1,609 sq ft",
"500 N St #202, Sacramento, CA 95814","$425,000",2 beds,2 baths,"1,261 sq ft",
"411 Picasso Cir, Sacramento, CA 95835","$549,900",4 beds,3 baths,"2,200 sq ft",
"4611 Fair Oaks Blvd, Sacramento, CA 95864","$1,950,000",4 beds,4.5 baths,"3,875 sq ft",
"130 Davis Ave, Sacramento, CA 95823","$160,000",4 beds,2 baths,"1,440 sq ft",
"1536 42nd St, Sacramento, CA 95819","$1,250,000",4 beds,3 baths,"2,253 sq ft",
,,,,,
"3729 18th Ave, Sacramento, CA 95820","$345,000",3 beds,1 bath,800 sq ft,
"2851 Garden Hwy, Sacramento, CA 95833","$2,395,000",3 beds,3 baths,"3,359 sq ft",
"5832 Alameda Ln #138, Sacramento, CA 95842","$109,900",2 beds,2 baths,800 sq ft,2 parking spots | Built 1974 | 2 parking spots
"2229 58th St, Sacramento, CA 95817","$649,900",2 beds,2 baths,"1,045 sq ft",
"2478 Larkspur Ln #173, Sacramento, CA 95825","$219,000",1 bed,1 bath,642 sq ft,
"26 Rosier Cir, Sacramento, CA 95833","$608,000",3 beds,2.5 baths,"1,985 sq ft",
"8476 W Stockton Blvd #1, Elk Grove, CA 95758","$199,900",3 beds,2 baths,"1,593 sq ft",
"3825 Nava Ave, Sacramento, CA 95835","$835,000",5 beds,3.5 baths,"2,968 sq ft",
"2352 Bronze Star Way, Sacramento, CA 95818","$659,000",3 beds,2.5 baths,"1,620 sq ft",
"57 Adler Cir, Sacramento, CA 95864","$979,000",4 beds,3 baths,"2,698 sq ft",
"4116 Puente Way, Sacramento, CA 95864","$2,600,000",5 beds,4.5 baths,"6,030 sq ft",
"4200 E Commerce Way #1214, Sacramento, CA 95834","$315,000",2 beds,2 baths,958 sq ft,
"3712 West Way, Sacramento, CA 95821","$429,000",3 beds,1 bath,"1,319 sq ft",
"5101 Esmeralda St, Sacramento, CA 95820","$570,000",3 beds,2 baths,"1,703 sq ft","6,970 sq ft lot | Garage | 6,970 sq ft lot"
"1705 H St, Sacramento, CA 95811","$925,000",3 beds,2.5 baths,"2,458 sq ft",
"2331 Downar Way, Sacramento, CA 95838","$349,000",3 beds,2 baths,808 sq ft,
"3413 Comet Ct, Sacramento, CA 95827","$455,000",3 beds,2 baths,"1,435 sq ft",
"4500 Crestwood Way, Sacramento, CA 95822","$925,000",3 beds,2.5 baths,"2,135 sq ft",
"8126 Dierks Rd, Sacramento, CA 95830","$748,000",3 beds,2 baths,"1,648 sq ft",2 acre lot | 6 garage spots | 2 acre lot
"6241 N Point Way, Sacramento, CA 95831","$725,000",4 beds,3 baths,"2,253 sq ft",
"2930 34th Ave, Sacramento, CA 95824","$310,000",2 beds,1 bath,953 sq ft,
"304 Cinema St, Sacramento, CA 95823","$494,900",4 beds,2.5 baths,"1,826 sq ft",
"8181 Folsom Blvd #69, Sacramento, CA 95826","$109,000",2 beds,2 baths,"1,272 sq ft",
"6229 Stagecoach Dr, Sacramento, CA 95842","$120,000",3 beds,2 baths,"1,440 sq ft",Parking | Built 1973 | Parking
"4831 Quonset Dr, Sacramento, CA 95820","$379,000",3 beds,1 bath,"1,018 sq ft","4,792 sq ft lot | Garage | 4,792 sq ft lot"
"9040 Durness Way, Sacramento, CA 95829","$639,900",4 beds,3 baths,"2,235 sq ft",
"5727 Honor Pkwy, Sacramento, CA 95835","$558,000",3 beds,2.5 baths,"1,796 sq ft",
"3500 38th St, Sacramento, CA 95817","$449,000",3 beds,2 baths,"1,143 sq ft",
"2017 5th Ave, Sacramento, CA 95818","$635,000",2 beds,1 bath,992 sq ft,
